campaign_name,target_amount,amount_raised,number_of_donors,emails_or_phone,email
Torah Temimah Primary School,"£ 400,000","£385,348",3065,Campaign email: ttpscampaign@gmail.com,ttpscampaign@gmail.com
Jewish future in this country is inseparable from Britain’s destiny.,"£ 500,000","£38,177",183,Create my fundraising team page,
The Friendship Circle,"£ 450,000","£445,065",3143,Campaign email: sarah@friendshipcircle.co.uk Campaign number: 0161 501 1792,sarah@friendshipcircle.co.uk
9 YESOMIM,"£ 600,000","£533,030",3234,9Yesomim@gmail.com,9Yesomim@gmail.com
WIZOuk,"£ 25,000","£6,197",114,Campaign email: emma@wizouk.org,emma@wizouk.org
Golders Green Kollel,"£ 400,000","£420,577",1292,Campaign email: golders.green.kolel@gmail.com,golders.green.kolel@gmail.com
Connections that Count,"£ 360,000","£296,257",7025,Create my fundraising team page,
Talmud Torah Tiferes Shlomo,"£ 425,000","£423,730",3377,Campaign email: tttscampaign@gmail.com,tttscampaign@gmail.com
Chabad Buckhurst Hill,"£ 100,000","£107,080",474,Campaign email: rabbibrandman@chabadonthehill.co.uk,rabbibrandman@chabadonthehill.co.uk
Our Responsibility,"£ 650,000","£629,681",4945,Campaign email: ourresponsibility21@gmail.com,ourresponsibility21@gmail.com
Secure Premises Appeal,"£ 5,000,000","£1,884,338",8136,Create my fundraising team page,
Heimishe Kitchen - Care & Share,"£ 200,000","£169,874",1571,"To all our friends and the wider community. Due to the terrible attack on our community's Hatzola Ambulances, and the subsequent important campaign to raise funds for Hatzola - we have decided to extend our campaign by a week to give breathing space to Hatzola's emergency appeal. Wishing all the community only good news !Campaign email: 	theheimishekitchen@gmail.com Helpline: 0203 746 3420",theheimishekitchen@gmail.com
Emergency Appeal - Families of Arad,"£ 400,000","£248,884",1214,Create my fundraising team page,
Leman HaTorah V'Lomdeoh - למען התורה ולומדיה,"£ 1,000,000","£942,795",5577,Campaign Email: events@yst613.co.ukCampaign Hotline Number: +44 161 738 1213UK Account Name: Shaarei Torah Trust - Account No: 08325480  Sort Code: 53-81-36IBAN: GB47 NWBK 5381 3608 3254 80EUROPE - Euro Account Number: 86382782 - Sort Code:   30-95-42 BIC: LOYDGB21004 - IBAN: GB27LOYD30954286382782SWITZERLAND: Call for detailsUSA - Account name: SHAAREI TORAH - Account number: 140/01/06176348 - Account type: International Account  - Currency: USDBIC: NWBKGB2L - IBAN: GB29NWBK60730106176348,events@yst613.co.ukCampaign
Hatzola Edgware,,"£67,096",627,Create my fundraising team page,
One Yeshiva. Global Impact,"£ 4,500,000","£4,338,877",14555,"Campaign email: campaign@gyalumni.orgCampaign numbers - UK: +447307212342 - USA: +17329367940 - Text or call to donate and for updates.Israel: +97239125681 - Call to donate and for updates - For SEIF 46 donations, see ""Bank Details"" below.Create my fundraising team page",campaign@gyalumni.orgCampaign
The Snow Slowed Us. It Didn't Stop Us.,"$750,000 ","$553,830 ",1742,Snow Extension. Same Goal.,
Keren Olam Hatorah,,"£7,862,438 ",,For enquiries and to fulfill pledges please email: info@kerenolamhatorah.org,info@kerenolamhatorah.org
,,,,,
"If you would like to join our teams, please fill your details below:",,,,,
BIKE4KEF 2026,,£19 ,3,JOIN BIKE4KEF 2026,
Chai Lifeline Belgium,,€0,0,JOIN RIDE4CHAI 2026,
Side By Side,"£ 350,000","£14,876",470,Campaign email: campaign@sidebyside.org.uk,campaign@sidebyside.org.uk
Byachad,"£ 50,000","£46,651",1290,Campaign email: info@rayzemore.com,info@rayzemore.com
Howell Mikvah,"$600,000 ","$250,712 ",1227,Campaign email: mikvahofhowell@gmail.com,mikvahofhowell@gmail.com
Yad Voezer - Special Forever,,"£2,000 ",2,,
Beis Chaya Rochel,"£ 200,000","£11,473",131,Campaign email: walk@bcrsem.org.uk,walk@bcrsem.org.uk
"If you would like to join our teams, please fill your details below:",,,,,
"If you would like to join our teams, please fill your details below:",,,,,
